Product,Revenue,Session,Time
FDFMRS,50122,4.586206897,8.090827889
BESNCE,49663,4.241860465,8.152497048
SXBCDG,49571,4.547038328,9.303995781
LHRCDG,49268.73,5.745644599,9.667225275
BUDCDG,48959,5.088825215,10.66617372
LYSCAY,48923,4.634146341,9.604084966
RUNMPL,48842,5.133333333,12.06565464
LYSBHX,48788,4.508287293,8.969265516
NCEBIQ,48439,4.441860465,9.61895757
CAYBOD,48254,5,12.61884409
CDGMLH,47919,5.391489362,12.23227755
LYSBRU,47581,3.892473118,8.773271823
MPLCAY,47574,4.266666667,10.46896686
PTPTLS,47557,4.264705882,6.618370373
MPLYUL,47127,3.860759494,8.152602661
LYSORY,46446,4.218905473,9.312878184
BODSXM,45970,3.744186047,10.68031859
PTPMRS,45366,4.133333333,7.778571134
CDGLYS,45169,4.498023715,9.838109758
BIQMRS,44672,4.263803681,8.359854573
NCYORY,44543,3.929032258,8.515276088
CFENCE,44012,3.791164659,7.605330279
MRSDKR,43656,4.066666667,7.535883278
MLHTLS,43265,4.962365591,9.274112586
ORYSOU,42936,4.477911647,8.433523401
MRSMXP,42930,4.346153846,8.239752957
PRGCDG,42732,5.02027027,9.618661271
LYSSTR,42709,3.925233645,8.244947334
TLSBES,42684,4.137566138,8.176806071
BLQCDG,42611,5.542168675,10.80058591
BODLIS,42605,4.622807018,8.006837814
NTEMXP,42485,4.790909091,10.34336762
ETZTLS,41949,3.724358974,7.702439596
ORYNCY,41821,5.82962963,12.55575348
ZRHCDG,41217,4.176470588,9.973279528
AJAMRS,41190,4.206489676,8.062388539
PTPLYS,41165,5.422222222,12.20950454
HAMCDG,40825,4.056521739,9.006008082
BODBCN,40287,6.25,10.48498719
CDGBRS,40255,4.368888889,8.326181376
MRSCLY,40018,3.412322275,7.801407239
TLSMLH,39863,4.926553672,8.725457966
NCECFE,39623,4.273913043,8.407240472
FDFLYS,39355,4.666666667,10.46550461
NTEBRU,39036,5.428571429,9.083988454
CDGCFE,38857,4.674641148,9.286681614
CDGZAG,38774,3.911330049,8.972099145
DUSCDG,38378,4.428571429,8.755864295
LYSBIA,37358,3.38125,6.437815885
BODDKR,37153,3.88372093,7.901549874
MPLSXB,37126,5.117283951,9.810511677
TLSMXP,36658,4.834394904,9.156654597
SXBMPL,36419,3.608433735,7.759037209
CDGNCL,35839,3.863247863,8.889374798
LYSAJA,35776,4.364864865,8.065600008
FLRCDG,35379,4.942857143,10.16119195
ORYPMI,35057,5.631578947,11.10364303
BIQNCE,34832,4.197530864,9.073125739
LINORY,34818,5.231707317,12.02408097
LYSBLQ,34688,4.31372549,9.1920849
BODBRU,34592,5.008,9.791241834
BODVCE,34285,3.761904762,7.360714568
NTEDUS,34219,4.722772277,10.93121562
BODAJA,33987,3.766990291,7.800421577
NTEBOD,33887,5.215189873,10.77498904
TRNCDG,33887,5.49044586,11.85870344
BODDXB,32962,5.923076923,8.384657196
LYSETZ,32954,4.252427184,9.583578554
CDGNTE,32929,5.560606061,9.051397963
LILSXB,32715,4.5,8.615316831
ORYALC,32610,4.256097561,9.56392801
AGPCDG,32604,3.684782609,7.496115314
FDFNCE,32514,5.35,12.56505187
FDFMPL,32492,4,9.379622323
AMSCDG,32189,6.881987578,14.19350574
CDGSXB,31718,4.527896996,9.965716999
BIANCE,31120,4.469387755,10.66376316
PTPMPL,30994,4.891304348,7.115908804
MANCDG,30640.29,4.655172414,10.10641535
ORYLYS,30558,3.748148148,8.320355626
LYSOTP,30529,2.876712329,8.50372569
LYSMXP,30191,5.176470588,11.16085486
LYSHAM,30080,4.588785047,11.41476333
VCECDG,29339,6.647540984,11.39303804
BODBIA,28781,5.978947368,11.00698247
LYSVIE,28653,3.642857143,7.43043494
BESTLS,28253,5.229299363,10.12611964
ORYBRN,27978,5.901098901,11.79404084
NTECFE,27911,3.765714286,8.59828436
CDGBSL,27833,8.450549451,14.16881686
MADORY,27748,4.598802395,10.26816372
SXBLIL,27432,4.261363636,10.48777104
NCELRT,27369,4.155555556,10.60707654
CDGYVR,27295,4.307692308,8.528949881
XYDYUL,27000,2.625,4.632093794
BODNTE,26671,3.984496124,10.40430665
CFENTE,26381,4.007633588,7.671663728
TLSDUS,26065,4.186046512,8.573696705
MXPCDG,25428,6.333333333,12.79757441
